Name,Year,Strategy Development,OrganizationEN,Content,Identification of Incidents,OrganizationRI,CoordinationRI,Mode of Operation,Identification of Incidents,OrganizationPI,Risk Management and Response,Crisis Management,Strategy,OrganizationDC,CoordinationDC,Communications Redundancy,Government,Private sector,Users,User Trust and Confidence on the Internet,User Trust in E-government Services,User Trust in E-commerce Services,User Understanding of Personal Information Protection Online,Reporting Mechanisms,Media and Social Media,Awareness Raising Programmes,Executive Awareness Raising,ProvisionMF,Administration,ProvisiónMC,Uptake,Legislative frameworks for ICT Security,"Privacy, Freedom of Speech and other Human Rights online",Data Protection Legislation,Child Protection Online,Consumer Protection Legislation,Intellectual Property Legislation,Substantive cybercrime Legislation,Procedural cybercrime Legislation,Law enforcement,Prosecution,Courts,Formal Cooperation,Informal Cooperation,ICT Security Standards,Standards in Procurement,Standards in Software Development,Internet Infrastructure Resilience,Software Quality,Technical Security Controls,Cryptographic Controls,Cyber Security Technologies,Cybercrime Insurance,Responsible Disclosure
Antigua and Barbuda,2020,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,3,2,1,2,3,3,2,2,1,1,2,1,1,1,2,1,2,2,1,1,1
Argentina,2020,2,3,2,4,3,3,2,2,2,2,2,2,3,1,2,2,3,2,2,2,2,2,2,2,2,3,3,1,2,3,3,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
Barbados,2020,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,1,3,1,2,2,1,1,1
Bolivia,2020,1,2,2,3,3,2,2,2,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2
Brazil,2020,2,2,2,4,4,4,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,2,2,2,3,3,3,2,3,3,4,4,4,3,4,3,4,4,4,3,2,2,2,4,2,2,3,2,3,3,3,3,3
Bahamas,2020,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1
Belize,2020,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,3,1,2,1,2,1,1
Chile,2020,4,3,3,3,3,2,3,2,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,4,5,3,3,3,2,2,3,3,3,3,2,3,2,2,2,2,3,2
Colombia,2020,5,4,4,3,4,4,4,3,4,4,4,4,3,3,2,4,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,2,2,3,3,2,3,2,2,2,2
Costa Rica,2020,3,2,3,2,2,2,2,1,1,1,1,1,1,1,3,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,3,3,3,3,4,3,3,2,2,3,3,1,1,1,1,1,1,1,2,1,1
Dominica,2020,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,2,1,1,1,2,2,1,2,1,2,3,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1
Dominican Republic,2020,3,3,3,2,3,2,2,1,2,1,1,1,1,1,1,2,3,2,2,2,2,2,2,3,2,3,3,2,3,2,5,3,3,2,3,4,5,5,4,3,3,3,3,3,1,1,2,2,2,2,2,1,1
Ecuador,2020,2,2,1,3,3,2,1,1,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,1,2,2,2,1,2,1,3,2,2,2,2,3,2,2,2,2,2,1,2,3,2,2,3,1,2,2,1,1,1
Grenada,2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1
Guatemala,2020,3,2,3,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1
Guyana,2020,1,1,1,2,2,3,2,2,1,1,1,1,1,1,2,3,2,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,3,2,2,2,3,2,3,2,2,1,1
Honduras,2020,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,1
